datetime,year,month,day,weekday,chocolate_normal,chocolate_fancy,chocolate_frozen
2020-01-01,2020,1,1,4,254.0,167,61
2020-01-02,2020,1,2,5,428.0,202,65
2020-01-03,2020,1,3,6,970.0,360,174
2020-01-04,2020,1,4,7,1005.0,302,152
2020-01-05,2020,1,5,1,722.0,342,145
2020-01-06,2020,1,6,2,1020.0,313,141
2020-01-07,2020,1,7,3,1245.0,370,137
2020-01-08,2020,1,8,4,1110.0,349,133
2020-01-09,2020,1,9,5,1153.0,391,155
2020-01-10,2020,1,10,6,1004.0,298,195
2020-01-11,2020,1,11,7,1784.0,424,191
2020-01-12,2020,1,12,1,902.0,525,160
2020-01-13,2020,1,13,2,1027.0,430,146
2020-01-14,2020,1,14,3,1351.0,366,160
2020-01-15,2020,1,15,4,1286.0,342,168
2020-01-16,2020,1,16,5,1040.0,365,150
2020-01-17,2020,1,17,6,1304.0,374,216
2020-01-18,2020,1,18,7,1764.0,479,203
2020-01-19,2020,1,19,1,1077.0,347,165
2020-01-20,2020,1,20,2,914.0,361,125
2020-01-21,2020,1,21,3,798.0,276,166
2020-01-22,2020,1,22,4,783.0,307,152
2020-01-23,2020,1,23,5,1173.0,365,125
2020-01-24,2020,1,24,6,1631.0,518,212
2020-01-25,2020,1,25,7,1269.0,447,192
2020-01-26,2020,1,26,1,1397.0,602,199
2020-01-27,2020,1,27,2,1047.0,332,140
2020-01-28,2020,1,28,3,1260.0,290,240
2020-01-29,2020,1,29,4,813.0,423,282
2020-01-30,2020,1,30,5,1238.0,408,288
2020-01-31,2020,1,31,6,1201.0,377,334
2020-02-01,2020,2,1,7,1919.0,580,316
2020-02-02,2020,2,2,1,974.0,509,248
2020-02-03,2020,2,3,2,1846.0,800,255
2020-02-04,2020,2,4,3,2063.0,964,303
2020-02-05,2020,2,5,4,1703.0,1134,355
2020-02-06,2020,2,6,5,2621.0,1634,601
2020-02-07,2020,2,7,6,1990.0,2036,671
2020-02-08,2020,2,8,7,3074.0,1511,408
2020-02-09,2020,2,9,1,4563.0,2546,583
2020-02-10,2020,2,10,2,2328.0,2528,589
2020-02-11,2020,2,11,3,3305.0,1334,468
2020-02-12,2020,2,12,4,1894.0,1258,190
2020-02-13,2020,2,13,5,2046.0,598,185
2020-02-14,2020,2,14,6,1278.0,481,313
2020-02-15,2020,2,15,7,1271.0,478,323
2020-02-16,2020,2,16,1,1181.0,438,233
2020-02-17,2020,2,17,2,1048.0,257,249
2020-02-18,2020,2,18,3,1169.0,330,224
2020-02-19,2020,2,19,4,1190.0,308,268
2020-02-20,2020,2,20,5,784.0,379,270
2020-02-21,2020,2,21,6,1093.0,451,229
2020-02-22,2020,2,22,7,1431.0,574,273
2020-02-23,2020,2,23,1,1104.0,386,225
2020-02-24,2020,2,24,2,948.0,402,187
2020-02-25,2020,2,25,3,976.0,331,199
2020-02-26,2020,2,26,4,499.0,311,265
2020-02-27,2020,2,27,5,1119.0,366,263
2020-02-28,2020,2,28,6,1115.0,308,276
2020-02-29,2020,2,29,7,802.0,505,230
2020-03-01,2020,3,1,1,1274.0,455,305
2020-03-02,2020,3,2,2,1053.0,338,297
2020-03-03,2020,3,3,3,1184.0,418,224
2020-03-04,2020,3,4,4,974.0,423,212
2020-03-05,2020,3,5,5,647.0,330,268
2020-03-06,2020,3,6,6,862.0,517,332
2020-03-07,2020,3,7,7,1407.0,360,214
2020-03-08,2020,3,8,1,1075.0,529,266
2020-03-09,2020,3,9,2,1009.0,328,235
2020-03-10,2020,3,10,3,1203.0,290,268
2020-03-11,2020,3,11,4,1107.0,414,296
2020-03-12,2020,3,12,5,1239.0,428,194
2020-03-13,2020,3,13,6,1283.0,313,326
2020-03-14,2020,3,14,7,916.0,357,302
2020-03-15,2020,3,15,1,1296.0,474,321
2020-03-16,2020,3,16,2,1014.0,249,280
2020-03-17,2020,3,17,3,812.0,418,358
2020-03-18,2020,3,18,4,923.0,369,396
2020-03-19,2020,3,19,5,610.0,286,381
2020-03-20,2020,3,20,6,1437.0,465,303
2020-03-21,2020,3,21,7,1138.0,456,356
2020-03-22,2020,3,22,1,1011.0,458,424
2020-03-23,2020,3,23,2,813.0,272,331
2020-03-24,2020,3,24,3,1029.0,373,310
2020-03-25,2020,3,25,4,760.0,250,246
2020-03-26,2020,3,26,5,561.0,415,384
2020-03-27,2020,3,27,6,1012.0,289,319
2020-03-28,2020,3,28,7,1436.0,535,277
2020-03-29,2020,3,29,1,1096.0,561,338
2020-03-30,2020,3,30,2,908.0,313,256
2020-03-31,2020,3,31,3,989.0,492,348
2020-04-01,2020,4,1,4,1314.0,435,246
2020-04-02,2020,4,2,5,1330.0,463,328
2020-04-03,2020,4,3,6,1233.0,440,363
2020-04-04,2020,4,4,7,1592.0,735,520
2020-04-05,2020,4,5,1,865.0,1058,432
2020-04-06,2020,4,6,2,2136.0,1019,593
2020-04-07,2020,4,7,3,1951.0,947,410
2020-04-08,2020,4,8,4,1868.0,814,433
2020-04-09,2020,4,9,5,1221.0,1162,483
2020-04-10,2020,4,10,6,1822.0,851,889
2020-04-11,2020,4,11,7,1553.0,718,602
2020-04-12,2020,4,12,1,742.0,340,302
2020-04-13,2020,4,13,2,752.0,296,337
2020-04-14,2020,4,14,3,1076.0,330,395
2020-04-15,2020,4,15,4,821.0,310,285
2020-04-16,2020,4,16,5,814.0,250,312
