	Unnamed: 0	Außenbezirk	Adresse	Räume	Preis	Datum	PLZ	Parkplätze	Landgrösse	Breitengrad	Längengrad
0	0	Abbotsford	68 Studley St	2		2016-09-03	3067	1	126	-37.8014	144.9958
1	1	Abbotsford	85 Turner St	2	1480000	2016-12-03	3067	1	202	-37.7996	144.9984
2	2	Abbotsford	25 Bloomburg St	2	1035000	2016-02-04	3067	0	156	-37.8079	144.9934
3	3	Abbotsford	18/659 Victoria St	3		2016-02-04	3067	1	0	-37.8114	145.0116
4	4	Abbotsford	5 Charles St	3	1465000	2017-03-04	3067	0	134	-37.8093	144.9944
5	5	Abbotsford	40 Federation La	3	850000	2017-03-04	3067	1	94	-37.7969	144.9969
6	6	Abbotsford	55a Park St	4	1600000	2016-06-04	3067	2	120	-37.8072	144.9941
7	7	Abbotsford	16 Maugie St	4		2016-08-06	3067	2	400	-37.7965	144.9965
8	8	Abbotsford	53 Turner St	2		2016-08-06	3067	2	201	-37.7995	144.9974
9	9	Abbotsford	99 Turner St	2		2016-08-06	3067	1	202	-37.7996	144.9989
10	10	Abbotsford	129 Charles St	2	941000	2016-05-07	3067	0	181	-37.8041	144.9953
11	11	Abbotsford	124 Yarra St	3	1876000	2016-05-07	3067	0	245	-37.8024	144.9993
12	12	Abbotsford	121/56 Nicholson St	2		2016-11-07	3067	1	4292	-37.8078	144.9965
13	13	Abbotsford	17 Raphael St	4		2016-11-07	3067	0	230	-37.8066	144.9936
14	14	Abbotsford	98 Charles St	2	1636000	2016-10-08	3067	2	256	-37.806	144.9954
15	15	Abbotsford	217 Langridge St	3	1000000	2016-10-08	3067				
16	16	Abbotsford	18a Mollison St	2	745000	2016-10-08	3067				
17	17	Abbotsford	6/241 Nicholson St	1	300000	2016-10-08	3067	1	0	-37.8008	144.9973
18	18	Abbotsford	10 Valiant St	2	1097000	2016-10-08	3067	2	220	-37.801	144.9989
19	19	Abbotsford	403/609 Victoria St	2	542000	2016-10-08	3067				
20	20	Abbotsford	2 Rich St	2		2016-12-10	3067	1	176	-37.7998	144.9972
21	21	Abbotsford	25/84 Trenerry Cr	2	760000	2016-12-10	3067				
22	22	Abbotsford	106/119 Turner St	1	481000	2016-12-10	3067				
23	23	Abbotsford	411/8 Grosvenor St	2	700000	2016-11-12	3067	1	0	-37.811	145.0067
24	24	Abbotsford	40 Nicholson St	3	1350000	2016-11-12	3067	2	214	-37.8085	144.9964
25	25	Abbotsford	123/56 Nicholson St	2	750000	2016-11-12	3067	1	0	-37.8078	144.9965
26	26	Abbotsford	22 Park St	4	1985000	2016-11-12	3067			-37.8084	144.9942
27	27	Abbotsford	13/84 Trenerry Cr	1	500000	2016-11-12	3067				
28	28	Abbotsford	45 William St	2	1172500	2016-08-13	3067	1	195	-37.8084	144.9973
29	29	Abbotsford	7/20 Abbotsford St	1	441000	2016-05-14	3067	1	0	-37.8016	144.9988
30	30	Abbotsford	16 William St	2	1310000	2016-10-15	3067	2	238	-37.809	144.9976
31	31	Abbotsford	16/11 Nicholson St	3		2016-04-16	3067	2	0	-37.8093	144.9959
32	32	Abbotsford	42 Henry St	3	1200000	2016-07-16	3067	1	113	-37.8056	144.993
33	33	Abbotsford	250 Langridge St	2	847000	2016-07-16	3067				
34	34	Abbotsford	16b Mollison St	2		2016-07-16	3067				
35	35	Abbotsford	78 Yarra St	3	1176500	2016-07-16	3067	1	138	-37.8021	144.9965
36	36	Abbotsford	196 Nicholson St	3	955000	2016-09-17	3067	0	183	-37.8022	144.9975
37	37	Abbotsford	42 Valiant St	2	890000	2016-09-17	3067	1	150	-37.8011	145.0004
38	38	Abbotsford	3/72 Charles St	4	1330000	2017-03-18	3067	2	780	-37.8073	144.9952
39	39	Abbotsford	1/1 Mayfield St	3		2017-03-18	3067	1	119	-37.8082	144.9999
40	40	Abbotsford	13/11 Nicholson St	3	900000	2017-03-18	3067	2	0	-37.8093	144.9959
41	41	Abbotsford	138/56 Nicholson St	3	1090000	2017-03-18	3067	2	4290	-37.8078	144.9965
42	42	Abbotsford	6/219 Nicholson St	2	500000	2016-06-18	3067	1	0	-37.8015	144.9972
43	43	Abbotsford	52a William St	2	1100000	2016-06-18	3067	1	124	-37.8079	144.9977
44	44	Abbotsford	49 Park St	2	1315000	2016-11-19	3067	0	147	-37.808	144.994
45	45	Abbotsford	65/80 Trenerry Cr	1	480000	2016-11-19	3067				
46	46	Abbotsford	119/52 Nicholson St	1	423500	2016-05-22	3067				
47	47	Abbotsford	8b Park St	4		2016-05-22	3067			-37.8092	144.9941
48	48	Abbotsford	5/20 Abbotsford St	1	426000	2016-08-22	3067	1	0	-37.8016	144.9988
49	49	Abbotsford	48 Abbotsford St	3	1447500	2016-08-22	3067	1	166	-37.8017	145.0001
50	50	Abbotsford	116/56 Nicholson St	1	457000	2016-08-22	3067	1	0	-37.8078	144.9965
51	51	Abbotsford	159 Park St	2	1135000	2016-08-22	3067	2	98	-37.8005	144.9952
52	52	Abbotsford	49/84 Trenerry Cr	2	700000	2016-04-23	3067				
53	53	Abbotsford	31 Turner St	4	1542000	2016-09-24	3067	1	0	-37.7994	144.9965
54	54	Abbotsford	17/1 Abbot St	3	962000	2017-02-25	3067			-37.7972	144.9969
55	55	Abbotsford	166 Gipps St	3	1290000	2017-02-25	3067	2	147	-37.805	144.9943
56	56	Abbotsford	60 Stafford St	3	1290000	2017-02-25	3067	1	168	-37.8007	144.9958
57	57	Abbotsford	11/205 Gipps St	1	470000	2016-07-26	3067	1	0	-37.8055	144.9961
58	58	Abbotsford	47 Studley St	2	1180000	2016-11-27	3067	0	162	-37.8016	144.9956
59	59	Abbotsford	45 Yarra St	3	1195000	2016-11-27	3067	1	120	-37.8022	144.9954
