Year,Regionname,Rooms,Distance,Propertycount,SellerG,Price
2018,Northern Metropolitan,2,3.0,4019.0,Jellis,750000.0
2018,Western Metropolitan,4,7.5,1543.0,Nelson,1630000.0
2018,Western Metropolitan,3,10.4,3464.0,Barry,970000.0
2018,Western Metropolitan,4,10.4,3464.0,Barry,790000.0
2018,Western Metropolitan,3,10.4,3464.0,Nelson,1025000.0
2018,Western Metropolitan,4,10.4,3464.0,Brad,
2018,Western Metropolitan,2,10.5,2185.0,Sweeney,530000.0
2018,Northern Metropolitan,3,5.7,2211.0,Jellis,
2018,Western Metropolitan,4,11.0,5301.0,Barlow,1160000.0
2018,Western Metropolitan,3,11.0,5301.0,hockingstuart,925000.0
2018,Western Metropolitan,3,11.0,5301.0,hockingstuart,850000.0
2018,Western Metropolitan,3,15.5,7630.0,Barry,718000.0
2018,Western Metropolitan,5,9.4,5132.0,RT,800000.0
2018,Western Metropolitan,3,12.8,1281.0,Barry,
2018,Western Metropolitan,2,12.8,1281.0,Biggin,595000.0
2018,Western Metropolitan,4,12.8,1281.0,Barry,
2018,Western Metropolitan,2,4.3,6567.0,Jellis,530000.0
2018,Western Metropolitan,5,4.3,6567.0,Nelson,1320000.0
2018,Western Metropolitan,4,4.3,6567.0,Alexkarbon,805000.0
2018,Western Metropolitan,3,9.5,4502.0,Barry,815000.0
2018,Western Metropolitan,3,9.5,4502.0,Barry,727500.0
2018,Western Metropolitan,3,8.6,3589.0,Douglas,850000.0
2018,Western Metropolitan,3,8.6,3589.0,Barry,600000.0
2018,Northern Metropolitan,5,14.0,4294.0,YPA,
2018,Western Metropolitan,3,6.4,962.0,hockingstuart,750000.0
2018,Northern Metropolitan,2,5.2,11918.0,Jellis,757000.0
2018,Northern Metropolitan,4,5.2,11918.0,Jellis,1200000.0
2018,Northern Metropolitan,2,5.2,11918.0,Nelson,1011000.0
2018,Northern Metropolitan,3,5.2,11918.0,Peter,1010000.0
2018,Northern Metropolitan,1,5.2,11918.0,Nelson,340000.0
2018,Northern Metropolitan,2,5.2,11918.0,Jellis,
2018,Northern Metropolitan,3,5.2,11918.0,Lindellas,1150000.0
2018,Northern Metropolitan,2,5.2,11918.0,Nelson,970000.0
2018,Northern Metropolitan,2,5.2,11918.0,Brad,978000.0
2018,Northern Metropolitan,2,5.2,11918.0,Nelson,970000.0
2018,Northern Metropolitan,4,5.2,11918.0,Jellis,1665000.0
2018,Northern Metropolitan,3,5.2,7082.0,Barry,1255000.0
2018,Northern Metropolitan,3,5.2,7082.0,Nelson,700000.0
2018,Northern Metropolitan,4,5.2,7082.0,Jellis,
2018,Northern Metropolitan,2,5.2,7082.0,Brad,340000.0
2018,Northern Metropolitan,3,12.1,10175.0,Barry,
2018,Northern Metropolitan,2,12.1,10175.0,Barry,440000.0
2018,Northern Metropolitan,5,12.1,10175.0,Barry,1470000.0
2018,Northern Metropolitan,4,12.1,10175.0,Barry,1225000.0
2018,Northern Metropolitan,4,12.1,10175.0,Stockdale,870000.0
2018,Northern Metropolitan,3,12.1,10175.0,Ray,
2018,Western Metropolitan,3,14.8,2674.0,Barry,679000.0
2018,Northern Metropolitan,4,1.6,6786.0,Woodards,3825000.0
2018,Northern Metropolitan,2,1.6,6786.0,MICM,567000.0
2018,Northern Metropolitan,4,3.5,3106.0,Nelson,1391000.0
2018,Northern Metropolitan,3,3.5,3106.0,Woodards,1580000.0
2018,Northern Metropolitan,3,3.6,2954.0,Collins,1300000.0
2018,Northern Metropolitan,4,6.7,11204.0,Jellis,1090000.0
2018,Northern Metropolitan,2,6.7,11204.0,Raine,1010000.0
2018,Northern Metropolitan,3,6.7,11204.0,Nelson,
2018,Northern Metropolitan,2,6.7,11204.0,Chambers,710000.0
2018,Northern Metropolitan,3,6.7,11204.0,YPA,946000.0
2018,Northern Metropolitan,3,6.7,11204.0,Nelson,795000.0
2018,Northern Metropolitan,2,6.7,11204.0,Nelson,587000.0
2018,Northern Metropolitan,3,6.7,3445.0,Barry,905000.0
2018,Northern Metropolitan,4,6.7,3445.0,Barry,965000.0
2018,Northern Metropolitan,3,6.7,3445.0,YPA,1100000.0
2018,Northern Metropolitan,2,6.7,3445.0,Brad,730000.0
2018,Northern Metropolitan,3,6.7,3445.0,Biggin,
2018,Northern Metropolitan,3,6.7,3445.0,Nelson,950000.0
2018,Northern Metropolitan,3,6.7,3445.0,Nelson,800000.0
2018,Northern Metropolitan,2,2.0,4553.0,Harrington,1079500.0
2018,Northern Metropolitan,3,20.6,15510.0,YPA,550000.0
2018,Northern Metropolitan,3,20.6,15510.0,Barry,
2018,Northern Metropolitan,3,20.6,15510.0,Ray,
2018,Northern Metropolitan,3,20.6,15510.0,Ray,479250.0
2018,Northern Metropolitan,2,20.6,15510.0,HAR,380000.0
2018,Northern Metropolitan,4,20.6,15510.0,Barry,630000.0
2018,Northern Metropolitan,5,20.6,15510.0,Barry,688000.0
2018,Northern Metropolitan,3,20.6,15510.0,Barry,590500.0
2018,Northern Metropolitan,7,20.6,15510.0,YPA,
2018,Northern Metropolitan,3,20.6,15510.0,YPA,567000.0
2018,Northern Metropolitan,4,20.6,15510.0,Ray,716000.0
2018,Northern Metropolitan,4,20.6,15510.0,Barry,640000.0
2018,Northern Metropolitan,3,20.6,15510.0,Barry,480000.0
2018,Northern Metropolitan,3,2.4,1123.0,hockingstuart,1245000.0
2018,Northern Metropolitan,3,14.0,2246.0,YPA,
2018,Western Metropolitan,3,14.8,6388.0,Burnham,580000.0
2018,Western Metropolitan,3,18.0,2898.0,Bells,580000.0
2018,Western Metropolitan,3,18.0,2898.0,Calder,
2018,Western Metropolitan,3,18.0,2898.0,Calder,
2018,Western Metropolitan,4,18.0,2898.0,Nelson,600000.0
2018,Western Metropolitan,4,14.7,2276.0,Burnham,561000.0
2018,Western Metropolitan,4,14.7,2276.0,Stockdale,912000.0
2018,Northern Victoria,3,21.8,4258.0,Barry,588000.0
2018,Northern Victoria,3,21.8,4258.0,Morrison,700000.0
2018,Northern Victoria,4,25.9,7254.0,Barry,740000.0
2018,Northern Victoria,4,25.9,7254.0,HAR,525000.0
2018,Northern Victoria,3,25.9,7254.0,HAR,470000.0
2018,Northern Victoria,3,25.9,7254.0,Barry,558000.0
2018,Northern Metropolitan,6,1.3,3040.0,RT,
2018,Northern Metropolitan,4,19.6,10926.0,hockingstuart,735000.0
2018,Northern Metropolitan,2,19.6,10926.0,Ray,432000.0
2018,Northern Metropolitan,4,19.6,10926.0,HAR,611000.0
2018,Northern Metropolitan,2,19.6,10926.0,HAR,300000.0
2018,Northern Metropolitan,2,19.6,10926.0,HAR,309000.0
2018,Northern Metropolitan,3,19.6,10926.0,HAR,610000.0
2018,Northern Metropolitan,3,19.6,10926.0,Millership,571550.0
2018,Northern Metropolitan,3,19.6,10926.0,Iconek,658000.0
2018,Western Metropolitan,3,7.5,9264.0,Barry,800000.0
2018,Western Metropolitan,2,7.5,9264.0,Barry,768000.0
2018,Western Metropolitan,4,7.5,9264.0,Nelson,
2018,Western Metropolitan,2,7.5,9264.0,Nelson,
2018,Western Metropolitan,5,7.5,9264.0,Nelson,2200000.0
2018,Western Metropolitan,2,7.5,9264.0,Hodges,480000.0
2018,Western Metropolitan,2,7.5,9264.0,Nelson,695000.0
2018,Western Metropolitan,2,8.2,1308.0,Brad,365000.0
2018,Northern Metropolitan,2,5.7,2970.0,McGrath,512500.0
2018,Northern Metropolitan,4,5.7,2970.0,Thomas,1300000.0
2018,Northern Metropolitan,3,13.1,5070.0,hockingstuart,767500.0
2018,Northern Metropolitan,2,13.1,5070.0,Ray,412000.0
2018,Northern Metropolitan,3,13.1,5070.0,Brad,482000.0
2018,Northern Metropolitan,3,13.1,5070.0,hockingstuart,783000.0
2018,Northern Metropolitan,2,2.1,5825.0,Nelson,1930000.0
2018,Northern Metropolitan,2,2.1,5825.0,Nelson,950000.0
2018,Northern Metropolitan,1,2.1,5825.0,Nelson,640000.0
2018,Northern Metropolitan,2,3.6,6244.0,Nelson,655000.0
2018,Northern Metropolitan,3,3.6,6244.0,Woodards,1325000.0
2018,Northern Metropolitan,2,3.6,6244.0,Nelson,1380000.0
2018,Northern Metropolitan,2,3.6,6244.0,Jellis,650000.0
2018,Northern Metropolitan,2,3.4,3593.0,Edward,785000.0
2018,Western Metropolitan,3,5.1,7570.0,Brad,517000.0
2018,Western Metropolitan,6,5.1,7570.0,Nelson,1527000.0
2018,Western Metropolitan,4,5.1,7570.0,Biggin,
