date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,6.2,3.6,10.9,0,0,178,2.1,9.3,1029.1,
2022-01-02,7.8,2.7,13.8,0,0,219,8.1,44.5,1024.6,
2022-01-03,10.2,8.3,11.2,0.8,0,235,16.5,51.8,1020,
2022-01-04,10.7,3.5,14.6,11.5,0,233,19,59.3,1003.8,
2022-01-05,1.3,-1.2,3.4,0.5,0,241,12.6,37,1011.6,
2022-01-06,-0.5,-2.3,0.8,0.7,0,182,4.1,13,1021.3,
2022-01-07,-0.1,-1.8,1.5,1.6,0,208,9.6,37,1021.5,
2022-01-08,1.7,0.2,3.2,4,20,226,15.8,50,1014.9,
2022-01-09,2,0,4.1,12.8,0,226,17.4,74.1,1006.9,
2022-01-10,0.6,-0.4,1.6,0.3,50,35,5.9,22.2,1020.2,
2022-01-11,0.5,-0.7,2.8,0,30,51,9,33.3,1031.7,
2022-01-12,-1.6,-4.4,0.3,0,20,51,6.8,24.1,1038.7,
2022-01-13,-2.4,-5,0.6,0,10,54,5.5,20.4,1041.5,
2022-01-14,-1,-3.8,3.4,0,10,113,2.4,7.4,1038,
2022-01-15,-1.4,-3,2,0,0,96,3,11.1,1030.1,
2022-01-16,-0.3,-3,3.6,0,0,235,3.8,16.7,1030.7,
2022-01-17,2.5,-0.1,5.2,0,10,223,3.6,13,1036.8,
2022-01-18,1.2,-1,4.3,0,0,53,8.3,31.5,1036.9,
2022-01-19,1.4,-0.3,3.7,0.2,0,220,6.2,24.1,1031.4,
2022-01-20,1.4,-0.6,2.6,0.2,0,248,9.9,27.8,1029.6,
2022-01-21,-0.3,-2.3,2,0,0,33,4.5,18.5,1034.4,
2022-01-22,0,-2,3.8,0,0,170,3.5,11.1,1036.1,
2022-01-23,0.6,-2.5,4.6,0,0,53,6.6,27.8,1035.1,
2022-01-24,-0.3,-1.5,0.8,0,0,56,4.8,20.4,1034.8,
2022-01-25,0.1,-1.8,3.9,0,0,180,2.7,9.3,1035.1,
2022-01-26,-0.3,-3.4,4.7,0,0,250,2.8,9.3,1034.5,
2022-01-27,-1.1,-4.6,4.4,2.4,0,221,4.4,14.8,1032.9,
2022-01-28,2.1,0.1,5.7,0,0,239,5.6,16.7,1036.4,
2022-01-29,3.5,-0.4,8.2,0,0,223,9.3,40.8,1035.1,
2022-01-30,5.4,2.1,8.7,0,0,256,8.3,35.2,1030.9,
2022-01-31,2.3,0.2,4,4.5,0,244,18.7,70.4,1020,
2022-02-01,1.1,-0.1,3,3.5,10,239,20.1,59.3,1024.5,
2022-02-02,5.1,3.1,6.3,2,0,239,17,48.2,1023.4,
2022-02-03,5.6,3,7.7,0,0,212,4.2,18.5,1021.5,
2022-02-04,5,3,6.7,0.4,0,232,10,48.2,1018.9,
2022-02-05,3.5,0.6,6.6,0,0,249,7.8,42.6,1025.5,
2022-02-06,3.9,0.9,6.7,12.5,0,228,25,105.6,1021.7,
2022-02-07,3.1,-0.7,6.5,0,0,251,18.5,100,1024.8,
