date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month
2022-01-01,6.2,3.6,10.9,0.0,0,178.0,2.1,9.3,1029.1,,01-Jan
2022-01-02,7.8,2.7,13.8,0.0,0,219.0,8.1,44.5,1024.6,,01-Jan
2022-01-03,10.2,8.3,11.2,0.8,0,235.0,16.5,51.8,1020.0,,01-Jan
2022-01-04,10.7,3.5,14.6,11.5,0,233.0,19.0,59.3,1003.8,,01-Jan
2022-01-05,1.3,-1.2,3.4,0.5,0,241.0,12.6,37.0,1011.6,,01-Jan
2022-01-06,-0.5,-2.3,0.8,0.7,0,182.0,4.1,13.0,1021.3,,01-Jan
2022-01-07,-0.1,-1.8,1.5,1.6,0,208.0,9.6,37.0,1021.5,,01-Jan
2022-01-08,1.7,0.2,3.2,4.0,20,226.0,15.8,50.0,1014.9,,01-Jan
2022-01-09,2.0,0.0,4.1,12.8,0,226.0,17.4,74.1,1006.9,,01-Jan
2022-01-10,0.6,-0.4,1.6,0.3,50,35.0,5.9,22.2,1020.2,,01-Jan
2022-01-11,0.5,-0.7,2.8,0.0,30,51.0,9.0,33.3,1031.7,,01-Jan
2022-01-12,-1.6,-4.4,0.3,0.0,20,51.0,6.8,24.1,1038.7,,01-Jan
2022-01-13,-2.4,-5.0,0.6,0.0,10,54.0,5.5,20.4,1041.5,,01-Jan
2022-01-14,-1.0,-3.8,3.4,0.0,10,113.0,2.4,7.4,1038.0,,01-Jan
2022-01-15,-1.4,-3.0,2.0,0.0,0,96.0,3.0,11.1,1030.1,,01-Jan
2022-01-16,-0.3,-3.0,3.6,0.0,0,235.0,3.8,16.7,1030.7,,01-Jan
2022-01-17,2.5,-0.1,5.2,0.0,10,223.0,3.6,13.0,1036.8,,01-Jan
2022-01-18,1.2,-1.0,4.3,0.0,0,53.0,8.3,31.5,1036.9,,01-Jan
2022-01-19,1.4,-0.3,3.7,0.2,0,220.0,6.2,24.1,1031.4,,01-Jan
2022-01-20,1.4,-0.6,2.6,0.2,0,248.0,9.9,27.8,1029.6,,01-Jan
2022-01-21,-0.3,-2.3,2.0,0.0,0,33.0,4.5,18.5,1034.4,,01-Jan
2022-01-22,0.0,-2.0,3.8,0.0,0,170.0,3.5,11.1,1036.1,,01-Jan
2022-01-23,0.6,-2.5,4.6,0.0,0,53.0,6.6,27.8,1035.1,,01-Jan
2022-01-24,-0.3,-1.5,0.8,0.0,0,56.0,4.8,20.4,1034.8,,01-Jan
2022-01-25,0.1,-1.8,3.9,0.0,0,180.0,2.7,9.3,1035.1,,01-Jan
2022-01-26,-0.3,-3.4,4.7,0.0,0,250.0,2.8,9.3,1034.5,,01-Jan
2022-01-27,-1.1,-4.6,4.4,2.4,0,221.0,4.4,14.8,1032.9,,01-Jan
2022-01-28,2.1,0.1,5.7,0.0,0,239.0,5.6,16.7,1036.4,,01-Jan
2022-01-29,3.5,-0.4,8.2,0.0,0,223.0,9.3,40.8,1035.1,,01-Jan
2022-01-30,5.4,2.1,8.7,0.0,0,256.0,8.3,35.2,1030.9,,01-Jan
2022-01-31,2.3,0.2,4.0,4.5,0,244.0,18.7,70.4,1020.0,,01-Jan
2022-02-01,1.1,-0.1,3.0,3.5,10,239.0,20.1,59.3,1024.5,,02-Feb
2022-02-02,5.1,3.1,6.3,2.0,0,239.0,17.0,48.2,1023.4,,02-Feb
2022-02-03,5.6,3.0,7.7,0.0,0,212.0,4.2,18.5,1021.5,,02-Feb
2022-02-04,5.0,3.0,6.7,0.4,0,232.0,10.0,48.2,1018.9,,02-Feb
2022-02-05,3.5,0.6,6.6,0.0,0,249.0,7.8,42.6,1025.5,,02-Feb
2022-02-06,3.9,0.9,6.7,12.5,0,228.0,25.0,105.6,1021.7,,02-Feb
2022-02-07,3.1,-0.7,6.5,0.0,0,251.0,18.5,100.0,1024.8,,02-Feb
2022-02-08,3.1,-0.4,8.4,0.0,0,197.0,3.9,14.8,1035.2,,02-Feb
2022-02-09,4.1,-0.7,11.1,0.0,0,195.0,3.5,13.0,1031.5,,02-Feb
2022-02-10,6.7,1.7,12.3,8.2,0,224.0,8.2,35.2,1026.3,,02-Feb
2022-02-11,3.7,-0.9,6.1,3.2,0,292.0,5.8,20.4,1030.1,,02-Feb
2022-02-12,0.6,-2.8,4.6,0.0,0,78.0,5.9,22.2,1030.9,,02-Feb
2022-02-13,2.9,-0.9,9.7,0.0,0,170.0,3.6,14.8,1022.1,,02-Feb
2022-02-14,4.3,0.6,9.7,1.9,0,184.0,5.4,22.2,1012.6,,02-Feb
2022-02-15,4.0,2.7,6.8,1.2,0,226.0,11.5,33.3,1017.4,,02-Feb
2022-02-16,4.4,1.9,9.4,4.1,0,219.0,16.1,55.5,1015.3,,02-Feb
2022-02-17,10.3,8.2,13.2,1.9,0,238.0,30.6,83.3,1014.7,,02-Feb
2022-02-18,9.6,4.9,15.1,4.4,0,231.0,17.8,66.7,1013.2,,02-Feb
2022-02-19,4.7,2.0,7.7,0.3,0,247.0,14.7,57.4,1020.9,,02-Feb
2022-02-20,7.3,3.5,11.2,1.8,0,234.0,22.2,72.2,1021.2,,02-Feb
2022-02-21,5.0,2.3,9.4,6.0,0,239.0,30.2,85.2,1014.1,,02-Feb
2022-02-22,5.4,2.3,8.4,0.6,0,240.0,17.9,44.5,1024.9,,02-Feb
2022-02-23,7.2,3.7,11.4,0.2,0,167.0,7.1,40.8,1026.7,,02-Feb
2022-02-24,6.8,2.0,10.4,1.3,0,210.0,11.1,51.8,1020.3,,02-Feb
2022-02-25,2.9,0.3,7.4,0.9,0,245.0,11.4,46.3,1027.6,,02-Feb
2022-02-26,1.8,-1.4,6.4,0.0,0,54.0,8.9,35.2,1032.8,,02-Feb
2022-02-27,1.4,-3.4,6.9,0.0,0,54.0,10.4,35.2,1029.7,,02-Feb
2022-02-28,1.7,-3.0,7.7,0.0,0,58.0,5.9,18.5,1031.2,,02-Feb
2022-03-01,2.1,-2.8,8.3,0.0,0,53.0,6.0,24.1,1028.9,,03-Mar
2022-03-02,3.7,-1.8,9.8,0.0,0,68.0,3.1,13.0,1023.7,,03-Mar
2022-03-03,5.9,0.2,12.2,0.0,0,40.0,4.2,24.1,1017.7,,03-Mar
2022-03-04,3.3,-1.1,8.6,0.0,0,47.0,9.4,29.6,1018.3,,03-Mar
2022-03-05,1.3,-3.0,6.7,0.0,0,46.0,8.2,25.9,1019.5,,03-Mar
2022-03-06,0.1,-3.6,5.2,0.0,0,46.0,9.1,27.8,1020.8,,03-Mar
2022-03-07,-0.1,-3.7,4.8,0.0,0,50.0,11.3,33.3,1022.1,,03-Mar
2022-03-08,0.2,-4.6,6.6,0.0,0,50.0,8.0,27.8,1022.5,,03-Mar
2022-03-09,4.1,-2.1,11.7,0.0,0,76.0,3.6,14.8,1024.7,,03-Mar
2022-03-10,5.7,-0.7,13.4,0.0,0,56.0,5.3,20.4,1023.9,,03-Mar
2022-03-11,6.2,-0.1,12.6,0.0,0,73.0,6.2,20.4,1019.2,,03-Mar
2022-03-12,8.2,4.7,12.8,0.0,0,63.0,6.5,22.2,1018.7,,03-Mar
2022-03-13,9.4,2.8,16.6,1.1,0,73.0,6.5,24.1,1016.0,,03-Mar
2022-03-14,9.0,4.6,14.2,0.6,0,270.0,7.5,33.3,1026.5,,03-Mar
2022-03-15,7.3,5.3,10.0,1.2,0,55.0,5.1,18.5,1026.2,,03-Mar
2022-03-16,9.4,5.9,14.1,0.0,0,58.0,5.6,25.9,1022.7,,03-Mar
2022-03-17,9.2,5.3,14.6,2.5,0,33.0,6.7,29.6,1025.5,,03-Mar
2022-03-18,7.4,5.6,10.3,0.1,0,48.0,14.6,44.5,1033.3,,03-Mar
2022-03-19,7.2,3.5,12.3,0.0,0,49.0,13.2,42.6,1031.8,,03-Mar
2022-03-20,9.4,1.5,15.9,0.0,0,60.0,7.0,29.6,1028.8,,03-Mar
2022-03-21,9.3,3.4,15.5,0.0,0,59.0,6.2,29.6,1031.1,,03-Mar
2022-03-22,8.9,2.5,16.2,0.0,0,43.0,4.7,22.2,1031.0,,03-Mar
2022-03-23,9.3,3.1,17.8,0.0,0,15.0,3.8,20.4,1029.8,,03-Mar
2022-03-24,10.6,4.2,18.6,0.0,0,31.0,3.8,18.5,1027.6,,03-Mar
2022-03-25,11.3,4.7,18.5,0.0,0,40.0,5.9,31.5,1025.6,,03-Mar
2022-03-26,11.8,4.8,18.5,0.0,0,47.0,10.6,35.2,1025.7,,03-Mar
2022-03-27,12.0,4.1,19.4,0.0,0,,,,,,03-Mar
2022-03-28,12.6,6.2,20.0,0.0,0,231.0,4.3,24.1,1023.6,,03-Mar
2022-03-29,12.8,7.7,17.4,0.0,0,220.0,5.1,31.5,1012.0,,03-Mar
2022-03-30,9.6,7.4,12.7,9.9,0,232.0,8.2,33.3,1002.9,,03-Mar
2022-03-31,6.9,4.2,9.8,11.1,0,260.0,6.0,31.5,997.0,,03-Mar
2022-04-01,1.6,-0.5,4.2,18.4,0,268.0,7.2,25.9,1000.7,,04-Apr
2022-04-02,-0.6,-2.2,0.7,4.3,30,15.0,6.0,20.4,1009.8,,04-Apr
2022-04-03,-0.1,-2.5,2.8,0.0,20,39.0,7.7,24.1,1020.2,,04-Apr
2022-04-04,2.8,-2.2,7.5,0.0,0,270.0,10.3,38.9,1020.3,,04-Apr
2022-04-05,6.9,4.1,11.7,0.0,0,238.0,12.3,31.5,1015.5,,04-Apr
2022-04-06,10.5,6.7,16.7,0.3,0,236.0,7.9,35.2,1009.6,,04-Apr
2022-04-07,10.2,8.2,12.7,18.9,0,235.0,27.5,88.9,1003.6,,04-Apr
2022-04-08,10.6,6.6,14.2,4.5,0,238.0,26.9,83.3,1002.6,,04-Apr
2022-04-09,4.6,1.5,9.5,3.0,0,251.0,15.3,90.8,1011.8,,04-Apr
2022-04-10,4.8,0.3,10.6,0.0,0,231.0,5.6,16.7,1022.2,,04-Apr
2022-04-11,8.2,0.7,16.2,0.0,0,47.0,6.8,18.5,1017.2,,04-Apr
2022-04-12,12.7,5.0,21.3,0.0,0,47.0,5.4,16.7,1013.3,,04-Apr
2022-04-13,16.3,10.4,22.8,0.0,0,307.0,3.7,20.4,1014.6,,04-Apr
2022-04-14,16.7,10.4,22.2,0.0,0,305.0,4.6,22.2,1018.6,,04-Apr
2022-04-15,15.3,11.6,19.9,0.0,0,37.0,5.5,20.4,1022.4,,04-Apr
2022-04-16,10.2,6.0,14.6,0.0,0,49.0,14.1,42.6,1025.4,,04-Apr
2022-04-17,8.5,2.6,15.0,0.0,0,53.0,14.1,40.8,1023.7,,04-Apr
2022-04-18,9.7,2.2,16.9,0.0,0,46.0,7.8,25.9,1017.3,,04-Apr
2022-04-19,11.8,4.6,17.9,0.0,0,359.0,5.6,25.9,1012.0,,04-Apr
2022-04-20,9.9,5.3,16.1,0.0,0,47.0,12.0,35.2,1010.6,,04-Apr
2022-04-21,10.4,3.6,17.5,0.0,0,43.0,11.1,31.5,1007.3,,04-Apr
2022-04-22,11.6,4.9,17.2,0.0,0,41.0,8.3,31.5,1001.6,,04-Apr
2022-04-23,10.4,8.1,13.6,2.2,0,48.0,10.2,27.8,1000.0,,04-Apr
2022-04-24,8.4,6.2,10.7,12.3,0,233.0,9.6,35.2,1001.8,,04-Apr
2022-04-25,9.3,7.7,13.9,5.9,0,212.0,9.0,24.1,1010.5,,04-Apr
2022-04-26,8.6,5.7,12.7,5.9,0,231.0,6.9,27.8,1016.4,,04-Apr
2022-04-27,10.4,4.6,15.9,0.0,0,42.0,9.4,31.5,1021.0,,04-Apr
2022-04-28,12.0,5.0,18.8,0.0,0,46.0,10.4,31.5,1024.7,,04-Apr
2022-04-29,12.9,6.1,18.7,2.2,0,14.0,6.7,24.1,1024.4,,04-Apr
2022-04-30,10.0,7.1,15.8,7.3,0,256.0,5.1,18.5,1022.2,,04-Apr
2022-05-01,10.5,6.5,16.2,0.0,0,37.0,5.3,20.4,1020.3,,05-May
