Month	Year	RPI	MI	CPI
Feb	94	98.5	6	95.1
Mai	94	96.42	5.5	94.6
Aug	94	96.55	5.5	95.1
Nov	94	96.8	5.5	95.1
Feb	95	97.16	5.5	96.6
Mai	95	97.8	5.5	96.5
Aug	95	97.86	5.5	97
Nov	95	98.69	5.5	96.9
Jan	96	99.21	5.25	97.2
Mai	96	98.89	5	97.2
Aug	96	99.1	5	97.5
Nov	96	99.6	5	97.6
Feb	97	99.73	4.75	98.2
Mai	97	98.87	4.75	97.8
Aug	97	98.84	4.5	98
Nov	97	98.23	4.25	98
Feb	98	98.11	4.25	98.1
Mai	98	97.99	4	97.9
Aug	98	97.98	4	98.1
Nov	98	97.82	4	97.9
Feb	99	98.46	4	98.4
Mai	99	98.78	4	98.4
Aug	99	99.03	3.75	99.1
Nov	99	98.54	3.75	99.2
Feb	0	98.74	4	100
Mai	0	100	4	100
Aug	0	100.28	4.5	100.2
Nov	0	104.07	4.5	101.1
Feb	1	104.24	4.5	100.8
Mai	1	105.13	4.5	101.8
Aug	1	105.18	4.5	101.2
Nov	1	105.3	4.5	101.4
Feb	2	105.63	4	101.4
Mai	2	105.3	4	102.4
Aug	2	105.46	4	101.7
Nov	2	105.87	3.75	102.3
Feb	3	106.14	3.75	102.4
Mai	3	105.84	3.75	102.8
Aug	3	105.48	3.75	102.3
Nov	3	104.82	3.75	102.8
Feb	4	105.1	3.75	102.5
Mai	4	105.59	3.75	103.8
Aug	4	106	3.75	103.3
Nov	4	106.36	3.75	104.4
Feb	5	106.7	3.75	103.9
Mai	5	107.15	3.75	104.9
