Jahr;DEU_1;CHE_1;DEU_2;CHE_2
1971;3.132699738;;75.17861867;
1972;4.300341334;;77.53373906;
1973;4.777486892;;80.86795449;
1974;0.890068741;;84.73141041;
1975;-0.866738894;;85.48557821;
1976;4.949258377;;84.74464145;
1977;3.34721812;;88.93887272;
1978;3.008492857;;91.91585078;
1979;4.150363341;;94.68113259;
1980;1.408828636;;98.61074361;
1981;0.529240557;1.60133593;100;100
1982;-0.394840775;-1.309417496;100.5292406;101.6013359
1983;1.57241017;0.639079545;100.1323101;100.2709503
1984;2.82294781;3.008456322;101.7068008;100.9117614
1985;2.327935262;3.673595924;104.5779307;103.9476477
1986;2.287339221;1.858632898;107.0124372;107.7662642
1987;1.402151627;1.585478008;109.4601746;109.7692434
1988;3.707235659;3.277596377;110.9949722;111.5096107
1989;3.896551692;4.330794024;115.1098174;115.1644456
1990;5.255006083;3.674625697;119.595131;120.1519806
1991;5.108261522;-0.915816589;125.8798624;124.5671161
1992;1.923076559;-0.043732916;132.310135;123.4263098
1993;-0.976849818;-0.125983738;134.8545602;123.3723319
1994;2.391892071;1.269757732;133.5372336;123.2169028
1995;1.544146496;0.480866574;136.7313001;124.7814589
1996;0.805822891;0.493909886;138.8426317;125.3814913
1997;1.792160821;2.269168119;139.9614574;126.0007628
1998;2.013932785;3.065331375;142.4697918;128.859932
1999;1.887261154;1.745534401;145.3390377;132.8099159
2000;2.912502964;3.976409234;148.0819649;135.1281587
2001;1.681468481;1.575817262;152.3948565;140.5014073
2002;-0.197973835;-0.005506463;154.957328;142.7154527
2003;-0.700116686;-0.046846373;154.650553;142.7075941
2004;1.175088132;2.821528115;153.5678187;142.6407408
2005;0.731707164;2.882638434;155.3723759;146.6653894
2006;3.816441913;4.015007608;156.5092467;150.8932223
2007;2.976455131;3.995722246;162.4823312;156.9515966
2008;0.959879134;2.755511436;167.3185449;163.2229465
2009;-5.693836336;-2.07963322;168.9246007;167.7205735
2010;4.179882499;3.268101656;159.3063104;164.2326007
2011;3.925192705;1.920445985;165.9651269;169.599889
2012;0.418497594;1.217193657;172.479578;172.8569633
2013;0.437591303;1.821667791;173.2014009;174.9609673
2014;2.209543431;2.446845157;173.9593152;178.1481749
2015;1.491931528;1.657768711;177.8030218;182.5071849
2016;2.229999868;2.045186469;180.4557211;185.5327319
2017;2.601976005;1.584819616;184.4798835;189.3272222
2018;1.267995232;3.013405102;189.2800058;192.3277172
2019;0.555450888;1.081930843;191.6800672;198.1233304
2020;-4.89654545;-2.870251911;192.7447558;200.2668878
