Jahr;SMI_bereinigt
1988.076661;NA
1988.079399;NA
1988.082137;NA
1988.084875;NA
1988.087613;NA
1988.090351;NA
1988.093089;NA
1988.095827;NA
1988.098565;NA
1988.101303;NA
1988.104041;NA
1988.106778;NA
1988.109516;NA
1988.112254;NA
1988.114992;NA
1988.11773;NA
1988.120468;NA
1988.123206;NA
1988.125944;NA
1988.128682;NA
1988.13142;NA
1988.134158;NA
1988.136895;NA
1988.139633;NA
1988.142371;NA
1988.145109;NA
1988.147847;NA
1988.150585;NA
1988.153323;NA
1988.156061;NA
1988.158799;NA
1988.161537;NA
1988.164275;NA
1988.167012;NA
1988.16975;NA
1988.172488;NA
1988.175226;NA
1988.177964;NA
1988.180702;NA
1988.18344;NA
1988.186178;NA
1988.188916;NA
1988.191654;NA
1988.194392;NA
1988.197129;NA
1988.199867;NA
1988.202605;NA
1988.205343;NA
1988.208081;NA
1988.210819;NA
1988.213557;NA
1988.216295;NA
1988.219033;NA
1988.221771;NA
1988.224509;NA
1988.227246;NA
1988.229984;NA
1988.232722;NA
1988.23546;NA
1988.238198;NA
1988.240936;NA
1988.243674;NA
1988.246412;NA
1988.24915;NA
1988.251888;NA
1988.254626;NA
1988.257363;NA
1988.260101;NA
1988.262839;NA
1988.265577;NA
1988.268315;NA
1988.271053;NA
1988.273791;NA
1988.276529;NA
1988.279267;NA
1988.282005;NA
1988.284743;NA
1988.28748;NA
1988.290218;NA
1988.292956;NA
1988.295694;NA
1988.298432;NA
1988.30117;NA
1988.303908;NA
1988.306646;NA
1988.309384;NA
1988.312122;NA
1988.31486;NA
1988.317597;NA
1988.320335;NA
1988.323073;NA
1988.325811;NA
1988.328549;NA
1988.331287;NA
1988.334025;NA
1988.336763;NA
1988.339501;NA
1988.342239;NA
1988.344977;NA
1988.347714;NA
1988.350452;NA
1988.35319;NA
1988.355928;NA
1988.358666;NA
1988.361404;NA
1988.364142;NA
1988.36688;NA
1988.369618;NA
1988.372356;NA
1988.375094;NA
1988.377831;NA
1988.380569;NA
1988.383307;NA
1988.386045;NA
1988.388783;NA
1988.391521;NA
1988.394259;NA
1988.396997;NA
1988.399735;NA
1988.402473;NA
1988.405211;NA
