Datum;SMI
27.06.2022;10906.82
24.06.2022;10823.12
23.06.2022;10453.31
22.06.2022;10528.34
21.06.2022;10479.84
20.06.2022;10485.91
17.06.2022;10451.31
16.06.2022;10475.37
15.06.2022;10783.59
14.06.2022;10699.07
13.06.2022;10896.25
10.06.2022;11084.62
09.06.2022;11322.43
08.06.2022;11467.39
07.06.2022;11534.18
03.06.2022;11529.16
02.06.2022;11550.2
01.06.2022;11494.12
31.05.2022;11611.38
30.05.2022;11736.26
27.05.2022;11647.17
25.05.2022;11491.8
24.05.2022;11483.56
23.05.2022;11466.28
20.05.2022;11308.98
19.05.2022;11309.49
18.05.2022;11579.14
17.05.2022;11730.44
16.05.2022;11672.23
13.05.2022;11650.42
12.05.2022;11506.13
11.05.2022;11553.66
10.05.2022;11541.72
09.05.2022;11444.18
06.05.2022;11730.42
05.05.2022;11877.27
04.05.2022;11880.24
03.05.2022;12001.88
02.05.2022;11971.73
29.04.2022;12128.76
28.04.2022;12068.41
27.04.2022;12051.48
26.04.2022;11933.28
25.04.2022;12084.98
22.04.2022;12258.33
21.04.2022;12301.33
20.04.2022;12310.17
19.04.2022;12281.42
14.04.2022;12475.08
13.04.2022;12378.68
12.04.2022;12378.87
11.04.2022;12528.61
08.04.2022;12507.69
07.04.2022;12372.46
06.04.2022;12320.1
05.04.2022;12376.97
04.04.2022;12340.87
01.04.2022;12179.08
31.03.2022;12161.53
30.03.2022;12243.73
29.03.2022;12325.58
28.03.2022;12155.95
25.03.2022;12121.67
24.03.2022;12131.45
23.03.2022;12099.5
22.03.2022;12202.62
21.03.2022;12171.28
18.03.2022;12184.99
17.03.2022;12061.87
16.03.2022;11900.96
15.03.2022;11682.22
14.03.2022;11678.94
11.03.2022;11495.69
10.03.2022;11391.1
09.03.2022;11493.36
08.03.2022;11057.06
07.03.2022;11204.67
04.03.2022;11300.13
03.03.2022;11675.7
02.03.2022;11871.59
01.03.2022;11862.28
28.02.2022;11986.78
25.02.2022;11987.31
24.02.2022;11636.76
23.02.2022;11941.89
22.02.2022;11959.39
21.02.2022;11891.88
18.02.2022;12010.09
17.02.2022;12075.27
16.02.2022;12191.57
15.02.2022;12181.86
14.02.2022;12026.37
11.02.2022;12231.97
10.02.2022;12313.16
09.02.2022;12367.82
08.02.2022;12155.66
07.02.2022;12193.81
04.02.2022;12140.25
03.02.2022;12234.15
02.02.2022;12360.37
01.02.2022;12359.8
31.01.2022;12226.7
28.01.2022;12104.44
27.01.2022;12176.9
26.01.2022;12098.26
25.01.2022;11945.69
24.01.2022;11881.3
21.01.2022;12355.54
20.01.2022;12560.7
19.01.2022;12525.69
18.01.2022;12529.56
17.01.2022;12633.21
14.01.2022;12525.63
13.01.2022;12620.44
12.01.2022;12670.47
11.01.2022;12709.71
10.01.2022;12597.35
07.01.2022;12797.94
06.01.2022;12792.28
05.01.2022;12906.37
04.01.2022;12900.97
03.01.2022;12939.17
30.12.2021;12875.66
29.12.2021;12926.56
28.12.2021;12970.53
27.12.2021;12866.9
23.12.2021;12785.32
22.12.2021;12713.9
21.12.2021;12682.53
20.12.2021;12589.89
17.12.2021;12715.48
16.12.2021;12790.89
15.12.2021;12530.95
14.12.2021;12411.58
13.12.2021;12551.28
10.12.2021;12607.73
09.12.2021;12607.63
08.12.2021;12597.43
